School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
P.S./I.S. 217 - MANHATTAN,M,2,FY14 RESO A GREEN ROOF,1615100,CIP,M271,645 MAIN STREET,Manhattan,10044,MANHATTAN,40.763894,-73.947916,8,8,23802,1084848,1013730001,Lenox Hill-Roosevelt Island,"(40.763894, -73.947916)"
I.S. 5 - QUEENS,Q,24,HVAC/PUBLIC ADDRESS SYSTEM,4710000,CIP,Q005,50-40 JACOBUS STREET,Queens,11373,QUEENS,40.737718,-73.887429,4,4,489,4454423,4024500017,Elmhurst-Maspeth,"(40.737718, -73.887429)"
P.S. 191 - BROOKLYN,K,17,FY18 RESO A SCIENCE LAB UPGRADES,326500,CIP,K191,1600 PARK PLACE,Brooklyn,11233,BROOKLYN,40.672005,-73.924329,8,8,359,3036635,3013750012,Crown Heights North,"(40.672005, -73.924329)"
P.S. 124 - BROOKLYN,K,15,FLOOD/ROOFS/PARAPETS/EXT MASONRY,3571475,CIP,K124,515 4TH AVENUE,Brooklyn,11215,BROOKLYN,40.667545,-73.991046,6,6,141,3023391,3010340001,Park Slope-Gowanus,"(40.667545, -73.991046)"
HS FOR ENVIRONMENTAL STUDIES -,M,2,6TH FLOOR EGRESS/FIRE ALARM,3621000,CIP,M834,444 WEST 56 STREET,Manhattan,10019,MANHATTAN,40.767791,-73.987531,4,4,139,1026841,1010650001,Clinton,"(40.767791, -73.987531)"
P.S. 93 - BRONX,X,8,ROOFS/EXTERIOR MASONRY/PARAPETS,2627000,CIP,X093,1535 STORY AVENUE,Bronx,10473,BRONX,40.821776,-73.876918,9,9,28,2097341,2036520001,Soundview-Castle Hill-Clason Point-Harding Park,"(40.821776, -73.876918)"
I.S. 78 - BROOKLYN,K,22,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,208000,CIP,K078,1420 EAST 68 STREET,Brooklyn,11234,BROOKLYN,40.621224,-73.91287,18,18,69602,3236496,3083880002,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.621224, -73.91287)"
BOYS & GIRLS HS - BROOKLYN,K,16,REPLACE CHILLERS & COOLING TOWERS,2996000,CIP,K455,1700 FULTON STREET,Brooklyn,11213,BROOKLYN,40.67944,-73.932407,3,3,271,3047996,3017010001,Crown Heights North,"(40.67944, -73.932407)"
X012 SPED - BRONX,X,11,STRUCTURAL CRACKS/WINDOWS/PARAPETS,4729000,CIP,X012,2555 TRATMAN AVENUE,Bronx,10461,BRONX,40.840145,-73.844419,10,10,200,2041864,2039830001,Van Nest-Morris Park-Westchester Square,"(40.840145, -73.844419)"
P.S. 269 - BROOKLYN,K,22,FY18 RESO A AUDITORIUM  UPGRADE,77286,CIP,K269,1957 NOSTRAND AVENUE,Brooklyn,11210,BROOKLYN,40.637711,-73.948159,17,17,788,3113780,3049940023,Flatbush,"(40.637711, -73.948159)"
M.S./H.S. 368 - BRONX,X,10,FY18 RESO A GYMNASIUM UPGRADE,203713,CIP,X368,2975 TIBBETT AVENUE,Bronx,10463,BRONX,40.879368,-73.909896,8,8,29302,2112838,2057160725,Spuyten Duyvil-Kingsbridge,"(40.879368, -73.909896)"
BRONX CNTR FOR SCIENCE & MATH,X,9,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,5747000,CIP,X002,1365 FULTON AVENUE,Bronx,10456,BRONX,40.833696,-73.902477,3,3,14701,2009617,2029250056,Claremont-Bathgate,"(40.833696, -73.902477)"
P.S. 131 - BROOKLYN,K,15,WATER PENETRATION/FLOOD/PARAPETS/ROOFS,12900000,CIP,K131,4305 FT HAMILTON PKWY,Brooklyn,11219,BROOKLYN,40.641157,-73.993482,12,12,224,3136085,3056030001,Borough Park,"(40.641157, -73.993482)"
P.S. 290 - BROOKLYN,K,19,ROOFS/WINDOWS/PARAPETS,2880000,CIP,K290,135 SCHENCK AVENUE,Brooklyn,11207,BROOKLYN,40.67789,-73.889758,5,5,1198,3087821,3039490018,East New York,"(40.67789, -73.889758)"
P.S. 183 - MANHATTAN,M,2,EXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,11870000,CIP,M183,419 EAST 66 STREET,Manhattan,10065,MANHATTAN,40.763736,-73.95815,8,8,116,1045569,1014610007,Lenox Hill-Roosevelt Island,"(40.763736, -73.95815)"
